年份,中国,美国,日本,印度,德国,英国,法国,意大利,俄罗斯,加拿大,澳大利亚,巴西,韩国,瑞典,西班牙
1960,597,5433,443,370,2158,732,622,404,5547,405,186,152,40,158,121
1961,501,5633,535,392,2158,777,675,448,5547,409,197,152,24,172,138
1962,472,6051,607,422,2158,812,756,504,5547,422,199,199,28,187,161
1963,507,6386,695,484,2158,866,848,577,5547,450,215,230,40,202,191
1964,597,6858,817,565,2158,944,940,632,5547,494,238,212,35,225,213
1965,704,7437,910,596,2158,1018,1015,680,5547,545,259,218,31,248,248
1966,767,8150,1056,459,2158,1086,1100,737,5547,611,273,271,39,270,287
1967,729,8617,1238,501,2158,1131,1190,811,5547,657,304,306,49,293,316
1968,708,9425,1466,531,2158,1078,1298,879,5547,718,327,339,61,311,315
1969,797,10199,1722,584,2158,1165,1419,971,5547,791,366,375,77,337,360
1970,926,10733,2126,624,2158,1307,1485,1134,5547,879,413,423,90,381,410
1971,998,11649,2402,674,2500,1481,1660,1247,5547,993,452,492,99,416,466
1972,1137,12791,3180,715,2998,1700,2035,1453,5547,1131,520,585,109,490,591
1973,1385,14254,4321,855,3984,1925,2644,1755,5547,1313,637,793,139,594,786
1974,1442,15452,4796,995,4453,2061,2856,1996,5547,1604,888,1051,195,660,973
1975,1634,16849,5215,985,4906,2418,3608,2277,5547,1738,972,1237,218,829,1148
1976,1539,18734,5862,1027,5198,2326,3723,2247,5547,2066,1049,1527,299,894,1185
1977,1749,20818,7214,1215,6005,2631,4103,2576,5547,2116,1102,1762,384,945,1324
1978,1495,23516,10136,1373,7405,3359,5067,3151,5547,2186,1183,2008,520,1044,1606
1979,1783,26273,10550,1530,8813,4390,6140,3937,5547,2431,1347,2250,669,1234,2146
1980,1911,28573,11054,1863,9503,5649,7013,4773,5547,2739,1498,2350,654,1421,2328
1981,1959,32070,12190,1935,8005,5408,6156,4307,5547,3062,1766,2636,729,1297,2028
1982,2051,33438,11345,2007,7766,5150,5849,4273,5547,3135,1938,2817,784,1144,1960
1983,2307,36340,12433,2183,7707,4896,5599,4430,5547,3405,1770,2033,878,1050,1710
1984,2599,40376,13184,2122,7251,4615,5307,4379,5547,3554,1932,2090,975,1092,1721
1985,3095,43390,13989,2325,7325,4893,5531,4522,5547,3648,1802,2229,1013,1141,1808
1986,3008,45796,20790,2490,10463,6015,7715,6404,5547,3774,1820,2681,1168,1505,2513
1987,2730,48552,25328,2790,12982,7452,9342,8057,5547,4313,1891,2941,1479,1830,3187
1988,3124,52364,30717,2966,14012,9101,10188,8916,5547,5074,2357,3304,1996,2070,3762
1989,3478,56416,30549,2960,13990,9269,10252,9287,5065,5651,2993,4256,2469,2179,4148
1990,3609,59631,31328,3210,17717,10932,12692,11812,5168,5939,3108,4620,2834,2618,5366
1991,3834,61581,35844,2701,18689,11428,12693,12462,5180,6103,3253,6029,3306,2742,5772
1992,4269,65203,39088,2882,21316,11797,14015,13202,4603,5924,3249,4006,3555,2843,6309
1993,4447,68586,44541,2793,20713,10614,13228,10650,4351,5772,3115,4378,3927,2130,5251
1994,5643,72872,49988,3273,22051,11405,13940,10992,3951,5781,3222,5581,4636,2290,5306
1995,7345,76397,55456,3603,25858,13416,16011,11747,3955,6040,3672,7693,5666,2673,6146
1996,8637,80731,49234,3929,24972,14154,16057,13124,3917,6285,4003,8504,6102,2917,6426
1997,9616,85776,44924,4159,22120,15582,14529,12419,4049,6550,4346,8832,5698,2681,5901
1998,10290,90628,40984,4214,22390,16516,15031,12701,2710,6340,3989,8637,3833,2708,6192
1999,10940,96307,46360,4588,21942,16822,14926,12520,1959,6784,3886,5994,4975,2741,6347
2000,12113,102523,49684,4684,19431,16582,13622,11438,2597,7448,4152,6554,5762,2628,5969
2001,13394,105818,43747,4854,19441,16387,13765,11670,3066,7390,3784,5594,5477,2424,6273
2002,14706,109364,41828,5149,20686,17801,14943,12707,3455,7606,3946,5080,6272,2668,7054
2003,16603,114582,45196,6077,24961,20509,18405,15741,4303,8955,4665,5583,7027,3343,9055
2004,19553,122137,48931,7091,28092,24120,21157,18032,5910,10267,6125,6693,7932,3851,10671
2005,22860,130366,48315,8204,28458,25328,21961,18575,7640,11731,6934,8916,9349,3922,11533
2006,27521,138146,46017,9403,29922,27060,23186,19479,9899,13193,7461,11076,10532,4231,12593
2007,35503,144519,45798,12167,34212,30934,26572,22103,12997,14688,8531,13971,11726,4913,14721
2008,45943,147128,51067,11989,37300,29214,29184,23989,16608,15530,10540,16958,10473,5177,16252
2009,51017,144489,52895,13419,33978,24124,26902,21912,12226,13746,9278,16670,9439,4365,14856
2010,60872,149921,57591,16756,33964,24816,26426,21340,15249,16173,11461,22089,11441,4958,14207
2011,75515,155426,62331,18231,37444,26599,28614,22920,20459,17933,13967,26162,12532,5741,14788
2012,85322,161970,62724,18276,35273,27040,26838,20871,22083,18284,15462,24652,12784,5525,13248
2013,95704,167849,52123,18567,37327,27833,28111,21413,22925,18466,15762,24728,13708,5868,13548
2014,104757,175272,48970,20391,38839,30655,28522,21591,20592,18058,14675,24560,14843,5820,13694
2015,110616,182383,44449,21036,33562,29328,24382,18359,13635,15565,13517,18022,14658,5051,11951
2016,112333,187451,50037,22948,34675,26932,24713,18758,12768,15280,12088,17957,15001,5157,12321
2017,123104,195430,49308,26515,36735,26625,25887,19570,15742,16493,13292,20635,16239,5410,13093
2018,138948,206119,50369,27011,39618,28573,27865,20911,16573,17219,14329,19169,17248,5555,14215
2019,142799,214332,51488,28705,38611,28308,27155,20049,16874,17416,13966,18778,16467,5313,13935
2020,147227,209366,50578,26230,38061,27077,26030,18864,14835,16434,13309,14447,16305,5376,12812
2021,177272,229935,49347,30799,42189,31886,29374,18864,17755,19913,13309,14447,16305,5376,12812
2022,179632,254397,42564,34166,40824,30891,27791,20497,22404,21615,16930,19201,16739,5376,12812
2023,178890,273564,42474,39320,44560,33330,30500,21860,18600,21180,16800,21270,17000,5376,12812
